ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,7201,1739356219698,0.46451,-0.56411,10.03849,0.83921,0.1831,2.21246
Abj,7202,1739356219716,0.5318,0.18574,9.91137,-2.88383,1.89203,2.21246
Abj,7203,1739356219733,0.46211,-0.3676,9.51147,-1.60213,6.5916,2.88383
Abj,7204,1739356219748,0.2659,-2.35813,8.87917,4.07398,10.986,2.02936
Abj,7205,1739356219769,0.44058,-2.58574,9.53301,0.16784,4.69957,1.84626
Abj,7206,1739356219781,0.44058,-2.58574,9.53301,7.48422,7.5071,2.27349
Abj,7207,1739356219798,-0.12473,-2.53789,8.72573,6.57634,9.64327,1.54109
Abj,7208,1739356219816,0.48634,-0.87308,9.29821,1.26644,-2.86857,2.63969
Abj,7209,1739356219832,0.33051,-0.41067,10.41925,-1.60213,-1.831,2.82279
Abj,7210,1739356219849,0.28504,-2.29831,10.14377,-1.84626,-1.0986,3.43313
Abj,7211,1739356219870,0.31615,-2.23609,10.15574,0.22888,3.23477,3.31106
Abj,7212,1739356219883,-0.01196,-1.93908,10.41925,0.16784,-0.5493,2.70073
Abj,7213,1739356219899,-0.01196,-1.93908,10.41925,3.15848,1.52583,2.57866
Abj,7214,1739356219917,0.64187,-2.75354,11.06381,3.09744,3.1127,2.70073
Abj,7215,1739356219934,0.5318,-1.44078,10.39771,1.44954,4.63854,2.45659
Abj,7216,1739356219954,0.21565,-1.22991,10.20629,-0.44249,3.8451,2.39556
Abj,7217,1739356219968,0.41665,-1.73539,10.70429,0.83921,5.3099,2.15143
Abj,7218,1739356219980,0.41665,-1.73539,10.70429,-1.23593,5.06577,2.39556
Abj,7219,1739356220000,0.5988,-1.54846,10.44078,0.90024,5.73714,2.63969
Abj,7220,1739356220017,0.11964,-1.39053,10.12702,-2.27349,5.24887,1.78523
Abj,7221,1739356220034,0.38794,-1.3666,9.85873,-3.25003,7.07987,1.78523
Abj,7222,1739356220051,0.18903,-1.14616,9.59522,-4.22656,7.01884,1.72419
Abj,7223,1739356220068,0.26112,-1.29452,8.92942,-7.88856,12.87804,0.50353
